../bba/Open_and_Rebid.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
36    S  1N-S       120          AK72.432.865.AT6 T96.KJT8.KJ72.85 83.A6.QT93.KQJ92 QJ54.Q975.A4.743 | 1C-P-1S-P-1N
37    S  2S-N       110          AKQ953.974.65.84 T864.AT63.A9.T95 7.Q85.QJ843.AKJ6 J2.KJ2.KT72.Q732 | 1D-P-1S-P-2C-P-2S
38    S  5C-S       -50          K832.76.Q5.AQT97 T765.JT93.A632.5 AQ4.KQ4.T98.K864 J9.A852.KJ74.J32 | 1C-P-1S-P-1N-P-2N-P-3S-P-5C
39    S  3N-S       600          KJ7654.J6.AJ.T93 AQ92.T542.Q92.82 .AQ97.KT74.KQJ76 T83.K83.8653.A54 | 1C-P-1S-P-1N-P-2S-P-3H-P-3S-P-3N
40    S  3S-N       140          KQJT82.Q43.T.K64 764.872.A983.A72 5.A96.KJ75.QJT85 A93.KJT5.Q642.93 | 1C-P-1S-P-1N-P-3S
41    S  3N-S       400          94.K8754.AKT4.95 AJ75.JT32.52.764 KQT.6.J976.AKJT8 8632.AQ9.Q83.Q32 | 1C-P-1H-P-1N-P-2D-P-3N
42    S  2C-S       130          QT543.T54.JT4.K2 A76.K973.K987.T9 8.J8.AQ63.AQJ763 KJ92.AQ62.52.854 | 1C-P-1S-P-2C
43    S  3N-N       400          K7.KJ82.QT7.QT74 J9652.65.K642.K5 A3.QT.AJ985.A963 QT84.A9743.3.J82 | 1D-P-1H-P-2C-P-2N-P-3N
44    S  3N-N      -100          AK97.J93.965.KT3 T843.KT54.32.Q86 J2.86.AKJT7.AJ54 Q65.AQ72.Q84.972 | 1D-P-1S-P-2C-P-2N-P-3N
45    S  3H-N       140          AQ7.AT632.753.T7 J986.K5.KQ62.J54 K2.J87.AJT98.KQ8 T543.Q94.4.A9632 | 1D-P-1H-P-1N-P-2H-P-3H
46    S  2D-N       150          AK84.872.K753.J2 Q965.KJ63.92.863 2.A4.AJ64.KQ9754 JT73.QT95.QT8.AT | 1C-P-1D-P-2D
