../bba/Reverse_Flannery.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
33    S  3D-E       100          QJT64.KJT3.JT3.9 A8.75.K8652.AKJ5 K3.AQ86.A94.T642 9752.942.Q7.Q873 | 1C-P-2H=1=-3D | Reverse Flannery 2H
34    S  4S-N       650          AJT85.KJT4.T654. 64.75.KQ72.QT942 Q32.A82.A9.A8765 K97.Q963.J83.KJ3 | 1C-P-2S=1=-P-4S | Reverse Flannery 2S
35    S  2S-S       170          KJ532.KJ743.64.T 76.82.AK7532.872 984.AQ9.9.AKQ643 AQT.T65.QJT8.J95 | 1C-P-2H=1=-P-2S | Reverse Flannery 2H
36    S  5S-N       680          AJ972.QJ75.5.Q63 Q5.T2.QJT96.K954 K843.A93.AK32.AT T6.K864.874.J872 | 1D-P-2S=1=-P-4N=2=-P-5C=3=-P-5D-P-5S=4= | Reverse Flannery 2S | Blackwood 1430, for !S | A=1/5 or 4/5 | No !S queen
37    S  2S-S       140          KJT73.QJ85.2.T97 A9.K76.QT65.A852 Q542.93.AK987.K3 86.AT42.J43.QJ64 | 1D-P-2H=1=-P-2S | Reverse Flannery 2H
38    S  3D-S       130          KJT87.KJ42.6.Q84 A96542.T3.5.AK75 3.A8.AKQT987.962 Q.Q9765.J432.JT3 | 1D-P-2S=1=-P-3D | Reverse Flannery 2S
39    S  3S-N       170          QJT85.AKT5.T5.53 9.J42.J963.AQJ98 AK43.Q986.K84.T7 762.73.AQ72.K642 | 1D-P-2S=1=-P-3S | Reverse Flannery 2S
40    S  4C-S       130          QJT65.KQ953..T76 K987.A2.Q962.932 A.86.KT873.AK854 432.JT74.AJ54.QJ | 1D-P-2H=1=-P-3C-P-4C | Reverse Flannery 2H
41    S  4H-N       420          QJ973.KJ84.73.T9 8654.76.AKJ9.QJ8 AK.AT92.62.AK743 T2.Q53.QT854.652 | 1C-P-2H=1=-P-4H | Reverse Flannery 2H
42    S  4S-N       680          QJT76.AQ72.T53.J .KT943.K7.KQT985 K982.J.AQ4.A7432 A543.865.J9862.6 | 1C-P-2S=1=-P-4S | Reverse Flannery 2S
