../bba/Open_In_Fourth_Seat.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
161   W  1N-E       100          JT96.96.874.AK63 KQ8.J8742.Q2.T72 74.AK3.K965.QJ95 A532.QT5.AJT3.84 | 1D-P-1H-P-1S-P-1N
162   W  2S-N       140          J965.Q62.AKT.T72 AT3.K943.J542.63 KQ87.75.93.AQJ85 42.AJT8.Q876.K94 | P-P-P-1C-P-1S-P-2S
163   W  2S-E       100          AT4.K92.K543.T62 K9832.Q76.Q72.Q8 Q7.AJ84.A6.97543 J65.T53.JT98.AKJ | P-P-P-1C-P-1D-1S-P-2S
164   W  1S-W      -110          A92.KT97.J73.JT8 Q863.542.KT54.AQ J5.Q6.AQ82.K9743 KT74.AJ83.96.652 | P-P-P-1C-P-1H-X=1=-P=2=-1S | Two suit takeout double | Max 2 !H
165   W  2D-E       -90          953.543.QJT.AQ93 K8.972.A9753.KT2 T762.AQJ8.K4.854 AQJ4.KT6.862.J76 | P-P-2D
166   W  2D-E       100          K762.42.K32.J965 AJ83.J65.QJ97.Q7 QT4.T987.A54.AKT 95.AKQ3.T86.8432 | P-P-P-1C-P-1S-P-P-X-P-2D
167   W  Pass-?     100          K52.T74.A876.K95 AT9.J962.QJT.J32 Q873.53.K32.AQT8 J64.AKQ8.954.764 | P
168   W  2S-E      -110          Q4.Q82.QJT93.K95 JT732.KT4.K75.QJ K6.A965.84.A7642 A985.J73.A62.T83 | P-P-2S
169   W  1N-N       -50          AT4.K52.96532.82 KJ87.QT6.JT.KT74 Q96.A873.AQ4.J63 532.J94.K87.AQ95 | P-P-P-1C-P-1D-P-1H-P-1N
170   W  2D-N        90          KT5.KT72.KQ95.94 843.AJ64.T42.AQ3 QJ7.Q3.A86.KT876 A962.985.J73.J52 | P-P-P-1C-P-1H-P-1N-P-2D
171   W  1S-W        50          KQT.852.A73.Q965 A5.KJT43.QJT.842 7432.AQ7.K42.JT7 J986.96.9865.AK3 | P-P-1H-P-1S
172   W  3D-W      -110          QJ64.Q62.52.AT85 853.853.KQJ87.Q4 KT7.KJ974.A.J732 A92.AT.T9643.K96 | 1D-P-3D
173   W  2H-W       100          Q874.A865.A75.96 A53.K973.J643.K8 KJT.4.T982.AQJ54 962.QJT2.KQ.T732 | P-P-1D-P-1H-P-2H
174   W  2S-N       140          KQT65.T6.J63.K64 A4.987.Q742.QT75 J92.A53.A985.A32 873.KQJ42.KT.J98 | P-P-P-1D-1H-1S-P-2S
175   W  Pass-?     140          73.QT2.A95.KJ653 QJ96.K8.J763.A82 AT85.J63.Q84.Q74 K42.A9754.KT2.T9 | P
176   W  Pass-?     140          963.A92.QJT6.Q83 A4.QT7.952.KJT72 QJT2.654.A43.A54 K875.KJ83.K87.96 | P
177   W  2HX-E     -470          A97.K653.A93.754 Q63.AQJT8.T64.T9 J8542.9.KQ52.AJ8 KT.742.J87.KQ632 | P-P-2H-X
178   W  4D-S      -200          T5.T95.KT76.AK92 A943.Q742.542.Q7 Q8.K86.AQ98.J854 KJ762.AJ3.J3.T63 | P-P-P-1D-1S-2D-2S-P-P-3C-3S-4D
179   W  Pass-?    -200          A932.J9.J93.KQ85 KJ5.652.AQT76.62 Q864.AKT84.52.74 T7.Q73.K84.AJT93 | P
180   W  1N-N       120          AQT.J9652.QJ3.J9 K54.KQT8.T752.64 9763.43.AK9.KQT5 J82.A7.864.A8732 | P-P-P-1C-P-1H-P-1S-P-1N
181   W  4H-N      -100          T5.JT832.AJ3.KQ4 J872.K6.KT954.T3 K96.AQ97.Q8.9875 AQ43.54.762.AJ62 | P-1H-P-2N=1=-P-4H | Jacoby 2NT
182   W  1N-S       120          J953.A962.J6.A63 KQ6.753.K43.9852 AT7.KT.AT875.JT7 842.QJ84.Q92.KQ4 | P-P-P-1D-P-1H-P-1N
183   W  2H-N       140          AJT3.QJT2.83.Q42 9876.543.952.AK8 K.AK98.JT764.J93 Q542.76.AKQ.T765 | P-P-P-1D-P-1H-P-2H
184   W  4H-S       420          QJT5.K7.J652.AT5 K3.Q65.A983.9743 74.AJT843.K.KQ62 A9862.92.QT74.J8 | P-P-P-1H-1S-1N-P-2H-P-3H-P-4H
185   W  1N-N       120          KT8.Q6.J643.A832 A72.J842.A52.T94 Q6.AT73.T987.KQJ J9543.K95.KQ.765 | P-P-P-1D-P-1N
186   W  3C-S       130          KJ65.K5.952.A532 AT974.JT4.84.J94 2.A8762.QJT.KQT8 Q83.Q93.AK763.76 | P-P-P-1H-P-1S-P-2C-P-3C
187   W  1N-S       120          KT952.T52.J93.AT QJ76.K8.A864.763 A3.AJ43.QT.K9854 84.Q976.K752.QJ2 | P-P-P-1C-P-1S-P-1N
188   W  1N-W       -90          95432.A2.654.AJ8 J8.K6543.QJ7.KT7 KQT6.Q87.KT32.95 A7.JT9.A98.Q6432 | 1C-P-1H-P-1N
189   W  1N-S       120          K93.9863.Q8.A943 A75.752.653.KQ65 Q86.QT4.AKJ94.JT JT42.AKJ.T72.872 | P-P-P-1D-P-1H-P-1N
190   W  3C-S       110          KJ.QJ742.J94.J83 A9653.65.QT7.K92 T2.KT8.A62.AQ654 Q874.A93.K853.T7 | P-P-2S-3C
191   W  1N-E        50          AT952.72.AJ7.T76 Q643.T9.984.KQJ3 K7.Q865.K532.A85 J8.AKJ43.QT6.942 | 1H-1S-1N
192   W  Pass-?      50          KJ7.J53.8542.KQ9 A986.KQ92.763.65 T32.AT7.QT9.A872 Q54.864.AKJ.JT43 | P
193   W  3N-N       400          J65.Q3.QJ64.AJ87 A432.J9872.92.32 QT9.AT4.AT85.K96 K87.K65.K73.QT54 | P-P-P-1D-P-2N-P-3N
194   W  2C-W      -110          J742.A763.J64.Q5 63.QJ5.K953.AJ94 QT98.K9.QT72.K83 AK5.T842.A8.T762 | 1C-P-1D-P-1N-P-2C
195   W  1N-S       -50          T7532.QT63.K5.53 QJ94.J75.AQJ.T97 6.AK94.T74.AK642 AK8.82.98632.QJ8 | P-P-P-1C-P-1S-P-1N
196   W  3N-S       600          K543.976.AT.KJT9 A2.QJT3.9863.642 QJ6.A42.KQJ54.83 T987.K85.72.AQ75 | P-1C-P-1D-P-1S-P-3N
197   W  2C-N       110          AQ82.K54.T6.JT42 974.A963.A52.653 T6.J87.Q984.AKQ9 KJ53.QT2.KJ73.87 | P-P-P-1D-P-1S-P-1N-P-2C
198   W  3H-S       170          AKT2.853.T42.A32 Q96.K7.QJ873.874 73.QJT964.K.KQ65 J854.A2.A965.JT9 | P-P-P-1H-P-2C=1=-P-2H-P-2N-P-3H | Reverse drury
199   W  2S-W      -110          Q5.KT96.AT2.J874 J872.Q5.J73.AQ96 A9.A83.Q8654.KT5 KT643.J742.K9.32 | P-P-P-1D-1S-X-P-2H-P-P-2S
200   W  2S-N       140          AT98.QJ9.K98.954 543.T3.T43.AKJ87 KJ62.A842.A72.63 Q7.K765.QJ65.QT2 | P-P-P-1D-P-1S-P-2S
201   W  3H-S       140          J875.T76.KQ9.A43 K63.KJ8.JT43.T65 Q2.A9532.A8.K872 AT94.Q4.7652.QJ9 | P-P-P-1H-P-2C=1=-P-2D=2=-P-2H-P-3H | Reverse drury | Artificial
202   W  2H-W      -110          T84.KT3.KQ7.QJT2 A92.J94.6542.A94 QJ763.Q7.AT3.853 K5.A8652.J98.K76 | 1H-P-2H
203   W  Pass-?    -110          Q952.KQ7.983.A52 KJ43.T9.K54.QJ98 AT8.A83.QT72.764 76.J6542.AJ6.KT3 | P
204   W  1N-S        90          KJ93.T65.Q4.Q976 854.K843.T72.AT4 Q2.AQ72.AJ865.J8 AT76.J9.K93.K532 | P-P-P-1D-P-1S-P-1N
205   W  2H-N       110          AKJ.8542.J97.T82 T86.T3.Q43.AQ765 Q52.KQJ6.A852.93 9743.A97.KT6.KJ4 | P-P-P-1D-P-1H-P-2H
206   W  3SX-W      300          A8.AT5.Q9732.T86 Q752.843.KJT.KJ5 JT.J976.A86.AQ43 K9643.KQ2.54.972 | P-P-P-1C-1S-2D-2S-P-P-X-P-3C-P-P-3S-P-P-X
207   W  3C-S       110          AJ4.42.JT65.KQ83 T865.AK73.A7.T65 K3.J96.Q93.AJ742 Q972.QT85.K842.9 | P-P-1C-P-1H-P-2H-P-P-X-P-3C
208   W  1N-N       120          AKT.763.964.KJ82 Q62.T98.AQT83.73 84.K542.KJ7.AQT6 J9753.AQJ.52.954 | P-P-P-1C-1S-1N
209   W  1H-N       -50          QJT.AT96.J93.876 K753.J54.AQ6.J93 A4.873.K85.KQT52 9862.KQ2.T742.A4 | P-P-P-1C-P-1H
210   W  2D-S       130          K43.63.Q86.A8742 QJ8.AJT9.75.K965 AT6.Q542.AKT32.T 9752.K87.J94.QJ3 | P-P-P-1D-P-1N-P-2D
211   W  4H-S       420          J9.AQT97.K86.764 AT7.K5.QT97.J852 KQ654.J642.A32.T 832.83.J54.AKQ93 | P-P-P-1S-P-1N-P-2H-P-4H
212   W  2N-S       120          842.KQJT7.A2.J83 KJT.9652.985.K94 A75.84.KQT7.Q765 Q963.A3.J643.AT2 | P-1H-P-1N=1=-P-2C-P-2N | Forcing 1NT
213   W  Pass-?     120          642.K2.AQ86.9865 KQJ9.A876.532.T4 T75.T9543.K.AK73 A83.QJ.JT974.QJ2 | P
214   W  2N-S       120          T6.KQT3.K982.Q52 A94.872.Q765.A64 KJ3.AJ.JT4.K9873 Q8752.9654.A3.JT | P-P-P-1C-P-1H-P-1N-P-2D-P-2N
215   W  3CX-N     -500          Q54.53.K832.KT84 AJ76.T96.Q764.Q5 K9.AKJ84.T95.J76 T832.Q72.AJ.A932 | 1C-P-1S-P-2S-P-P-X-P-3C-X
216   W  3H-S       -50          8765.AJT.53.KJT5 T943.Q5.AJ98.A42 AKQ.98762.QT.Q63 J2.K43.K7642.987 | P-P-P-1H-P-2C=1=-P-2D=2=-X-P-P-2H-P-P-3D-3H | Reverse drury | Artificial
217   W  3D-S       110          Q98.AKT8.864.Q43 AK4.743.93.KJ762 JT53.62.AKQT2.85 762.QJ95.J75.AT9 | P-P-1C-1D-1H-2D-X=1=-P-2H-3D | Support double redouble
218   W  2N-N      -100          A85.832.94.AK632 T72.AQT9.K86.QT9 K6.KJ5.AT752.874 QJ943.764.QJ3.J5 | P-1C-P-1D-P-1N-P-2D-P-2N
219   W  2H-S       140          J43.KJT.9742.KJ5 T82.96.KQ53.A986 AK.75432.AT6.Q72 Q9765.AQ8.J8.T43 | P-P-P-1H-P-2H
220   W  1N-N      -100          8.A975.T72.KT932 AQ96.Q43.K943.86 J532.KJ6.QJ65.A7 KT74.T82.A8.QJ54 | P-P-P-1D-P-1H-P-1S-P-1N
221   W  2C-S       110          9653.KQ7.8632.K4 JT87.643.AK54.J6 KQ.T52.J9.AQT852 A42.AJ98.QT7.973 | P-P-P-1C-P-1S-P-2C
222   W  1N-W        50          J654.AK84.93.742 KT72.J93.AQ72.85 AQ.Q752.86.QJT63 983.T6.KJT54.AK9 | 1D-P-1S-P-1N
223   W  2N-S       120          987.A872.AK8.875 A542.K43.T62.A94 QT3.Q5.QJ543.KQT KJ6.JT96.97.J632 | P-P-P-1D-P-1H-P-1N-P-2N
224   W  1N-N        90          K32.J52.KJ95.982 QT6.KT7.74.KQJ65 875.A986.A862.A4 AJ94.Q43.QT3.T73 | P-P-P-1D-P-1N
225   W  2D-E       100          J86.J7.A52.KJT72 AT93.96.K8763.65 K54.AQT2.QT9.Q94 Q72.K8543.J4.A83 | P-P-2D
226   W  Pass-?     100          963.A6.QJ876.KJ9 KQ4.QT98.52.A832 AT85.742.A4.QT75 J72.KJ53.KT93.64 | P
227   W  Pass-?     100          A2.QJ4.Q8532.J65 983.K98.KJ4.A872 KJ75.653.A97.K94 QT64.AT72.T6.QT3 | P
228   W  3S-N       140          AQ952.J85.96.KJT 84.AT42.KQ8.9863 JT63.Q7.7542.AQ7 K7.K963.AJT3.542 | P-1S-P-3S
229   W  Pass-?     140          Q7.JT6.A6432.K63 A94.9875.J7.AJ75 JT63.KQ3.Q8.QT94 K852.A42.KT95.82 | P
230   W  2N-N       120          AT83.83.K43.KJT5 Q95.K2.AQT5.9632 J2.AJT75.J872.A8 K764.Q964.96.Q74 | P-P-P-1H-P-1S-P-2D-P-2N
231   W  1N-N        90          A74.985.K9764.T8 Q652.J2.J532.AK6 KJT.KT74.AT.Q974 983.AQ63.Q8.J532 | P-P-P-1C-P-1D-P-1H-P-1N
232   W  1N-W        50          J43.J7.983.AKQ85 AT62.94.Q642.J92 KQ5.KT82.KT5.T73 987.AQ653.AJ7.64 | 1H-P-1S-P-1N
233   W  1N-S        90          KQ87.JT7.72.K652 AT94.A8.T953.QT9 62.K632.AKQ64.J7 J53.Q954.J8.A843 | P-P-P-1D-P-1S-P-1N
234   W  3H-E      -140          J87.954.Q3.KQT98 K54.K832.A965.73 QT963.AJ.KJ7.654 A2.QT76.T842.AJ2 | P-P-P-1S-P-2S-P-P-X-P-3H
235   W  1N-N        90          JT4.KT7.942.AT43 AQ75.J842.T6.J72 83.A653.KJ73.KQ5 K962.Q9.AQ85.986 | P-P-P-1D-P-1N
236   W  Pass-?      90          976.J73.73.AK984 AT82.Q4.AJ54.765 Q43.AT652.Q98.Q2 KJ5.K98.KT62.JT3 | P
237   W  1N-S        90          987.K86.J5.AK843 T3.AQ942.AT2.J62 AK64.T75.K963.95 QJ52.J3.Q874.QT7 | P-1C-1H-X-P-1S-P-1N
238   W  3N-N       430          K932.KQ9.85.K973 JT765.J5.QT9.T84 A.T32.AJ6432.AQ6 Q84.A8764.K7.J52 | P-P-P-1D-1H-X-P-2D-P-2N-P-3N
239   W  2H-N       140          AQ75.9742.83.A85 T83.Q6.KT97.Q974 K4.AJ85.6542.KJT J962.KT3.AQJ.632 | P-P-P-1D-P-1H-P-2H
240   W  1S-N       110          Q432.A32.98.AT74 AT7.9765.J643.KJ J96.KJT4.AQ52.Q5 K85.Q8.KT7.98632 | P-P-P-1D-P-1S
241   W  3D-E       100          Q984.J3.J82.AJ98 32.AT2.A943.KT54 JT.K98764.KQT.Q7 AK765.Q5.765.632 | P-P-1D-2H-X-P-3D
242   W  3N-S       600          KJ5.K9752.73.A52 A43.J86.KT62.QJ3 86.AT.AJ984.KT74 QT972.Q43.Q5.986 | P-1H-P-1N=1=-P-2C-P-2S=2=-P-3S-P-3N | Forcing 1NT | Limit raise or better in !C
243   W  1N-N        90          A3.J9762.K43.Q96 Q742.KQ.T52.K742 JT96.A5.AJ876.J8 K85.T843.Q9.AT53 | P-P-P-1D-P-1H-P-1S-P-1N
244   W  1N-N       120          A86.76.Q83.KJT53 QJ9.QT83.J76.Q86 K52.AJ52.AT52.42 T743.K94.K94.A97 | P-P-P-1D-P-1N
245   W  1N-N        90          AT.762.976.AQJ82 Q632.KQJ5.T84.T7 J975.984.AQ3.K64 K84.AT3.KJ52.953 | P-1C-P-1S-P-1N
246   W  1N-S       120          T74.QJT72.Q6.A82 J65.543.A973.Q64 K32.A6.KT82.K953 AQ98.K98.J54.JT7 | P-P-P-1D-P-1H-P-1N
247   W  1N-E       -90          K85.J943.AQ5.JT5 632.AQ.J96.K8743 QJT74.K6.7432.Q9 A9.T8752.KT8.A62 | 1H-P-1N
248   W  3H-N       140          JT.AQT64.AT4.T92 953.K3.J872.A764 Q87.J92.KQ53.KJ3 AK642.875.96.Q85 | P-1H-P-1N=1=-P-2C-P-3H | Forcing 1NT
249   W  2S-W      -140          932.QT93.A86.Q32 KT6.KJ76.Q42.J94 54.A84.KJ53.KT75 AQJ87.52.T97.A86 | 1S-P-2S
250   W  4H-N       620          T92.AKJ52.73.K54 J76.987.T954.AJ2 AQ83.T43.AQ2.986 K54.Q6.KJ86.QT73 | P-1H-P-1S-P-1N-P-3H-P-4H
251   W  Pass-?     620          A7.J984.9852.A76 983.QT7.KJ7.KQ82 K642.AK53.63.T43 QJT5.62.AQT4.J95 | P
252   W  2N-E      -120          QJ832.Q73.J2.T54 A9.JT62.QT97.A32 54.K94.K65.KQJ87 KT76.A85.A843.96 | 1D-P-1H-P-1S-P-2N
253   W  2N-S       120          A54.Q7.QT2.K8765 Q96.KT62.A987.43 J83.J953.K6.AQJT KT72.A84.J543.92 | P-P-P-1C-P-2C=1=-P-2N | Inverted minors
254   W  2D-S       110          AT8.T93.A965.T65 Q654.K742.83.KJ2 J92.Q65.KQ742.A8 K73.AJ8.JT.Q9743 | P-P-P-1D-P-1N-P-2D
255   W  Pass-?     110          Q742.J2.AT54.KJ3 A63.K984.973.Q84 JT85.A765.KJ2.65 K9.QT3.Q86.AT972 | P
256   W  1N-E       -90          KQ63.52.J75.K962 AT95.KJ9.932.QT4 872.A7643.K64.A3 J4.QT8.AQT8.J875 | P-P-P-1H-P-1S-P-P-X-XX-1N
257   W  3H-S       140          AJ9.QJ9.763.K862 863.873.K95.A953 KT2.AKT54.JT82.Q Q754.62.AQ4.JT74 | P-P-P-1H-P-2C=1=-P-2D=2=-P-2H-P-3H | Reverse drury | Artificial
258   W  Pass-?     140          KJ9.843.KQ5.Q854 A87.QJ9.JT842.K6 QT3.KT65.976.AJT 6542.A72.A3.9732 | P
259   W  3H-N       170          92.AQT86.852.K63 J74.J52.KQJ63.85 Q865.K73.7.AQJ42 AKT3.94.AT94.T97 | 1D-1H-2D-2H-P-P-3D-3H
260   W  Pass-?     170          654.K75.AJ84.K87 AKQ.T864.T2.J965 J9872.AQ2.K93.32 T3.J93.Q765.AQT4 | P
261   W  2H-S       110          KT3.Q643.KT9.Q87 A87.J7.QJ54.T964 J9.K852.A732.KJ2 Q6542.AT9.86.A53 | P-P-P-1D-1S-X-P-2H
262   W  2S-N       110          T982.Q73.T32.AKQ AJ7.AT852.J6.J52 Q643.K4.KQ85.T64 K5.J96.A974.9873 | P-P-1H-P-2H-P-P-X-P-2S
263   W  1N-N        90          J64.KJT94.872.A7 T52.A5.A9654.J85 KQ73.Q73.KT.QT32 A98.862.QJ3.K964 | P-P-P-1C-P-1H-P-1S-P-1N
264   W  3S-W        50          KT3.J964.65.K632 Q98.AKT5.Q83.954 54.Q7.AJT972.AT7 AJ762.832.K4.QJ8 | 1S-P-3S
265   W  1H-W       100          JT3.962.QJ7.AKT8 AK8.54.KT842.J65 Q975.AKJ8.965.72 642.QT73.A3.Q943 | P-P-1D-P-1H
266   W  2N-S       120          T52.QT.AJ832.A98 A864.K863.T6.KT2 K73.A95.Q7.QJ654 QJ9.J742.K954.73 | P-1D-P-2N
267   W  1S-N        80          T852.AQ8.T963.85 AQ7.J95.QJ75.JT2 KJ6.732.42.AKQ94 943.KT64.AK8.763 | P-P-P-1C-P-1S
268   W  3H-S       170          K64.52.AQT3.J743 Q985.K3.9865.KQ2 T72.AQT876.K7.A9 AJ3.J94.J42.T865 | P-P-P-1H-P-1N-P-2H-P-3H
269   W  3D-N      -100          864.65.AQ987.J83 AK97.873.T5.A752 QT.AKJ4.J43.QT64 J532.QT92.K62.K9 | P-P-1C-P-1H-P-1S-P-2S-P-P-X-P-3D
270   W  3H-S       170          965.AT5.T92.A985 K873.KQ.J76.J632 Q4.986432.AK43.Q AJT2.J7.Q85.KT74 | P-P-P-1H-P-2H-P-P-X-P-2S-3H
271   W  2H-E       150          KT2.Q64.Q2.KJT95 J53.KT875.T97.AQ A9.J32.AK853.843 Q8764.A9.J64.762 | P-P-2H
272   W  3S-E       100          63.KT5.KJ96.J872 AQ987.842.Q3.Q43 J5.AQ9.T875.AT95 KT42.J763.A42.K6 | 1D-P-1S-P-2S-P-3S
273   W  2S-W      -110          KJ9.9752.Q9.QJ97 AT2.AJT6.J72.643 Q8.K8.AKT865.852 76543.Q43.43.AKT | P-P-P-1D-1S-X-P-2D-P-P-2S
274   W  2S-S       140          K54.T5.T52.AKJ92 Q6.KQ62.Q97.8754 AJ732.A843.J643. T98.J97.AK8.QT63 | P-1C-P-1S-P-1N-P-2H-P-2S
275   W  2D-S       130          AK7.742.653.K532 9865.AQJ9.QT.JT6 42.T6.AKJ972.A84 QJT3.K853.84.Q97 | P-P-P-1D-P-1N-P-2D
276   W  1S-N        80          9843.QJ.KJ64.A32 765.K965.A9.9864 AK2.T874.Q73.QJT QJT.A32.T852.K75 | P-P-P-1C-P-1S
277   W  1N-N        90          752.K52.AT832.K6 643.QJ9.Q9765.QT QJ98.A64.4.AJ852 AKT.T873.KJ.9743 | 1C-1D-P-1S-P-1N
278   W  Pass-?      90          K7432.Q32.J73.Q4 J5.K76.Q865.KJT2 AT6.A84.KT9.8763 Q98.JT95.A42.A95 | P
279   W  2N-S       120          A2.K93.6532.AT95 964.J842.AJ74.J2 QT7.Q65.KQ.K8763 KJ853.AT7.T98.Q4 | P-1D-P-2N
280   W  Pass-?     120          K743.QT76.K43.K7 8652.KJ8.JT7.A83 AQT.932.Q652.QT9 J9.A54.A98.J6542 | P
281   W  3N-N       430          AQ9.QT864.QJ.T32 J653.72.7643.K94 T4.KJ.AT852.AQ85 K872.A953.K9.J76 | 1C-1H-P-2D-P-3N
282   W  2H-N       110          62.J976.KT3.K863 J874.K84.QJ5.AT9 AQT.AT53.7642.Q7 K953.Q2.A98.J542 | P-P-P-1D-P-1H-P-2H
283   W  3H-N       -50          QT5.A742.KJT.942 A7643.53.A98.J75 82.KQ9.Q743.KQ86 KJ9.JT86.652.AT3 | P-P-2S-X-P-3H
284   W  4H-N       620          KJ63.Q985.A6.J95 985.32.K52.Q8762 A2.KT76.T9874.AK QT74.AJ4.QJ3.T43 | P-P-P-1D-P-1H-P-3H-P-3S=1=-P-4C=2=-P-4D=3=-P-4H | Cue bid, a !S stopper | Cue bid, a !C stopper | Surplus
285   W  Pass-?     620          874.QT.QJ72.KQJ6 QT96.62.AK4.9754 AJ2.J985.T863.A8 K53.AK743.95.T32 | P
286   W  1N-S       -50          QT93.973.KQ94.98 AJ5.A65.765.QT74 K7.J84.T83.AKJ32 8642.KQT2.AJ2.65 | P-P-P-1C-P-1S-P-1N
287   W  3N-N       600          Q83.AJ4.97.KJT83 K97.K9875.A2.976 AT6.63.QJT43.AQ2 J542.QT2.K865.54 | P-P-2H-3D-P-3N
288   W  Pass-?     600          K53.J42.A63.QJ84 AQT.K6.QT954.963 986.Q875.KJ8.AT7 J742.AT93.72.K52 | P
289   W  1N-S       120          AJ96.J4.9864.QJ6 75432.A98.A5.T53 QT.QT75.KT2.AK84 K8.K632.QJ73.972 | P-P-P-1C-P-1S-P-1N
290   W  2N-S       120          AJT86.KQ2.654.T8 7432.754.AK3.952 5.AJ6.QJT7.AJ743 KQ9.T983.982.KQ6 | P-P-P-1C-P-1S-P-1N-P-2S-P-2N
291   W  2S-E      -110          JT8.A76.984.QT87 A9542.92.AQ5.J95 KQ.T543.KJ732.A3 763.KQJ8.T6.K642 | P-P-1S-P-2C=1=-P-2D-X-P-P-2S | Drury
292   W  Pass-?    -110          965.AT2.A72.9642 KQT.K75.Q643.J73 A87.J843.KT5.QT5 J432.Q96.J98.AK8 | P
293   W  1N-N        90          A82.T9.KQJ5.T653 QT5.A83.T943.Q92 J764.Q7542.A2.A8 K93.KJ6.876.KJ74 | P-P-P-1H-P-1N
294   W  Pass-?      90          AQ7.96532.Q84.QJ K965.JT.AT5.8654 T432.A8.K92.K732 J8.KQ74.J763.AT9 | P
295   W  1N-N      -100          75.763.K875.KJ76 QT8.T94.AJ4.AT85 A632.AQJ2.92.943 KJ94.K85.QT63.Q2 | P-P-P-1C-P-1D-P-1H-P-1N
296   W  Pass-?    -100          KQT8.942.A983.J4 A96.QT.K754.T753 J32.A863.JT6.A96 754.KJ75.Q2.KQ82 | P
297   W  2H-W      -110          AT94.QT7.J5.9876 KJ3.854.KT742.KT 765.A3.A963.AJ42 Q82.KJ962.Q8.Q53 | P-P-P-1D-1H-X-P-1S-P-1N-2H
298   W  Pass-?    -110          A5.K94.T8432.K92 863.Q86.AQJ.QT84 KQJT7.752.K95.53 942.AJT3.76.AJ76 | P
299   W  1N-E       -90          Q7.JT53.T95.AK87 98.KQ2.QJ74.J954 KJ642.A764.82.Q3 AT53.98.AK63.T62 | 1D-P-1N
300   W  3C-S       110          A84.T73.9642.K98 KT763.K95.QJ8.J4 QJ.A2.KT75.A6532 952.QJ864.A3.QT7 | P-P-2S-3C
301   W  1N-W       100          AK52.JT3.Q4.T965 QT96.A95.A862.J7 73.Q876.KJ75.AQ3 J84.K42.T93.K842 | P-P-1D-P-1N
302   W  Pass-?     100          K92.A863.63.JT98 AT73.752.A52.K62 J6.KT4.KT984.A54 Q854.QJ9.QJ7.Q73 | P
303   W  1S-N        80          QJ98.AT.742.9863 AT6.J8.865.AJT54 K74.97543.AT3.KQ 532.KQ62.KQJ9.72 | P-P-P-1H-P-1S
304   W  Pass-?      80          94.AT3.Q982.QJT6 QJ765.872.K7.A52 T832.K54.A64.K83 AK.QJ96.JT53.974 | P
305   W  1S-N       110          AK92.63.8632.KT7 J43.KQT8.J74.843 Q76.9542.AKT.A62 T85.AJ7.Q95.QJ95 | P-P-P-1C-P-1S
306   W  1N-N        90          KT75.Q65.974.KT7 QJ.A32.Q53.J8432 A9.T984.AKJT8.96 86432.KJ7.62.AQ5 | P-P-P-1D-1S-1N
307   W  1N-S        90          7532.A3.Q983.K97 JT6.KQT52.J4.852 AQ.J64.T752.AQ43 K984.987.AK6.JT6 | P-P-P-1D-P-1S-P-1N
308   W  1SX-N      360          T9752.KJ8.54.QJ5 863.T74.AK97.K97 AKQ.Q653.QT63.42 J4.A92.J82.AT863 | P-P-P-1D-P-1S-P-P-X
309   W  4H-E       100          K43.T83.J87.AK94 AT7.KQ952.Q9.872 J8652..AKT54.T53 Q9.AJ764.632.QJ6 | P-P-1H-1S-2S=1=-X-P-P-3H-P-P-3S-4H | Limit raise or better in !H
310   W  2S-N       -50          Q7654.853.Q8.KJ4 92.AJT72.974.AQ9 KJ.K6.AJT32.T753 AT83.Q94.K65.862 | P-P-1H-2D-2H-2S
311   W  2D-W      -110          K2.T76.T86.KQ985 J863.KQJ.KJ72.73 AQ975.5432.3.AT2 T4.A98.AQ954.J64 | 1D-P-1S-P-1N-P-2D
312   W  3C-N       -50          T95.Q2.8542.AKJ4 832.AK654.Q97.T7 Q64.J73.AKJ6.Q52 AKJ7.T98.T3.9863 | P-P-2H-X-P-3C
313   W  1N-N        90          QT4.T8.9742.KQ52 A82.A765.K53.986 K73.K92.QJ86.AT3 J965.QJ43.AT.J74 | P-P-P-1D-P-1N
314   W  Pass-?      90          J5.A82.QT92.AT85 KQ7.754.A874.Q76 A962.JT63.65.KJ9 T843.KQ9.KJ3.432 | P
315   W  2H-S       140          KJ5.976.Q4.AT764 AT4.JT52.KJ98.Q3 32.AK843.A73.J95 Q9876.Q.T652.K82 | P-P-P-1H-P-2C=1=-P-2H | Reverse drury
316   W  2D-S      -100          T96.J83.Q9.AKT76 AK3.KT2.JT53.843 Q54.AQ65.A7642.2 J872.974.K8.QJ95 | P-P-P-1D-P-1N-P-2D
317   W  3C-S       130          KQ7.J92.KJ98.T98 8432.AQ85.643.42 9.K74.AT72.AQ753 AJT65.T63.Q5.KJ6 | 1S-P-2S-3C
318   W  3D-N       130          QJ6.A42.A9542.95 K53.KQT87.T6.QT6 A92.93.KQ73.J742 T874.J65.J8.AK83 | P-1D-1H-2D-2H-3D
319   W  1N-W        50          QT93.Q973.A2.Q93 AJ5.T864.84.K764 762.A5.KQJ6.J852 K84.KJ2.T9753.AT | 1D-P-1H-P-1N
320   W  1N-N        90          852.AQT75.J6.A83 T63.J3.AKT74.J62 KJ94.K4.Q983.T95 AQ7.9862.52.KQ74 | P-1H-P-1S-P-1N
